"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2021-06-11,"Chelsea/NoMad/West Chelsea","Manhattan","10001","10001, 10118","18+",25536.66,2744,20093,22837,10.75,78.68,89.43
2021-06-11,"Chinatown/Lower East Side","Manhattan","10002","10002","18+",63973.22,5549,46191,51740,8.67,72.2,80.88
2021-06-11,"East Village/Gramercy/Greenwich Village","Manhattan","10003","10003","18+",50398.54,3367,32557,35924,6.68,64.6,71.28
2021-06-11,"Financial District","Manhattan","10004","10004","18+",2684.95,351,2681,3032,13.07,99.85,112.93
2021-06-11,"Financial District","Manhattan","10005","10005","18+",8169.56,924,5882,6806,11.31,72,83.31
2021-06-11,"Financial District","Manhattan","10006","10006","18+",3155.66,409,2760,3169,12.96,87.46,100.42
2021-06-11,"TriBeCa","Manhattan","10007","10007","18+",5573.4,585,4957,5542,10.5,88.94,99.44
2021-06-11,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan","10009","10009","18+",50563.97,3571,32929,36500,7.06,65.12,72.19
2021-06-11,"Flatiron/Gramercy/Kips Bay","Manhattan","10010","10010","18+",30671.32,2002,19577,21579,6.53,63.83,70.36
2021-06-11,"Chelsea","Manhattan","10011","10011","18+",45084.43,2910,32880,35790,6.45,72.93,79.38
2021-06-11,"Greenwich Village/SoHo","Manhattan","10012","10012","18+",20884.75,1622,13695,15317,7.77,65.57,73.34
2021-06-11,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan","10013","10013","18+",24655.72,2068,18535,20603,8.39,75.18,83.56
2021-06-11,"Hudson Square/Meatpacking District/West Village","Manhattan","10014","10014","18+",27625.86,1882,20021,21903,6.81,72.47,79.28
