"DATE","ADMIN_DOSE1_DAILY","ADMIN_DOSE1_CUMULATIVE","ADMIN_DOSE2_DAILY","ADMIN_DOSE2_CUMULATIVE","ADMIN_SINGLE_DAILY","ADMIN_SINGLE_CUMULATIVE","ADMIN_ADDITIONAL1_DAILY","ADMIN_ADDITIONAL1_CUMULATIVE","ADMIN_ADDITIONAL2_DAILY","ADMIN_ADDITIONAL2_CUMULATIVE","ADMIN_ADDITIONAL_DAILY","ADMIN_ADDITIONAL_CUMULATIVE","ADMIN_BIVALENT_ADDITIONAL_DAILY","ADMIN_BIVALENT_ADDITIONAL_CUMULATIVE","ADMIN_ALLDOSES_DAILY","ADMIN_ALLDOSES_7DAYAVG","ADMIN_ALLDOSES_CUMULATIVE","ADMIN_ALLDOSES_PRIMARY","INCOMPLETE"
2020-12-14,79,79,0,0,2,2,0,0,0,0,0,0,0,0,81,,81,81,0
2020-12-15,2052,2131,7,7,5,7,0,0,0,0,0,0,0,0,2064,,2145,2145,0
2020-12-16,4603,6734,18,25,4,11,1,1,0,0,1,1,0,0,4626,,6771,6770,0
2020-12-17,4661,11395,18,43,2,13,1,2,0,0,1,2,0,0,4682,,11453,11451,0
2020-12-18,5836,17231,20,63,2,15,2,4,0,0,2,4,0,0,5860,,17313,17309,0
2020-12-19,1688,18919,9,72,3,18,0,4,0,0,0,4,0,0,1700,,19013,19009,0
2020-12-20,1118,20037,2,74,1,19,0,4,0,0,0,4,0,0,1121,2876.29,20134,20130,0
2020-12-21,6392,26429,22,96,0,19,4,8,0,0,4,8,0,0,6418,3781.57,26552,26544,0
2020-12-22,9766,36195,28,124,2,21,1,9,0,0,1,9,0,0,9797,4886.29,36349,36340,0
2020-12-23,14274,50469,39,163,3,24,0,9,0,0,0,9,0,0,14316,6270.57,50665,50656,0
2020-12-24,7170,57639,28,191,1,25,0,9,0,0,0,9,0,0,7199,6630.14,57864,57855,0
2020-12-25,180,57819,0,191,0,25,1,10,0,0,1,10,0,0,181,5818.86,58045,58035,0
2020-12-26,4391,62210,48,239,0,25,1,11,0,0,1,11,0,0,4440,6210.29,62485,62474,0
2020-12-27,3869,66079,15,254,0,25,1,12,0,0,1,12,0,0,3885,6605.14,66370,66358,0
2020-12-28,10990,77069,52,306,1,26,3,15,0,0,3,15,0,0,11046,7266.29,77416,77401,0
2020-12-29,10712,87781,37,343,2,28,3,18,0,0,3,18,0,0,10754,7403,88170,88152,0
2020-12-30,12821,100602,44,387,0,28,0,18,0,0,0,18,0,0,12865,7195.71,101035,101017,0
2020-12-31,7258,107860,38,425,1,29,0,18,0,0,0,18,0,0,7297,7209.71,108332,108314,0
2021-01-01,178,108038,2,427,1,30,3,21,0,0,3,21,0,0,184,7210.14,108516,108495,0
2021-01-02,3810,111848,10,437,3,33,2,23,0,0,2,23,0,0,3825,7122.29,112341,112318,0
2021-01-03,3543,115391,24,461,2,35,1,24,0,0,1,24,0,0,3570,7077.29,115911,115887,0
2021-01-04,12250,127641,811,1272,2,37,7,31,0,0,7,31,0,0,13070,7366.43,128981,128950,0
2021-01-05,14088,141729,2197,3469,2,39,14,45,1,1,15,46,0,0,16302,8159,145283,145237,0
2021-01-06,17794,159523,3929,7398,1,40,33,78,8,9,41,87,0,0,21765,9430.43,167048,166961,0
2021-01-07,16538,176061,5186,12584,4,44,46,124,3,12,49,136,0,0,21777,11499,188825,188689,0
2021-01-08,16609,192670,5464,18048,0,44,37,161,5,17,42,178,0,0,22115,14632,210940,210762,0
2021-01-09,7648,200318,1465,19513,1,45,7,168,2,19,9,187,0,0,9123,15388.86,220063,219876,0
2021-01-10,7879,208197,980,20493,0,45,13,181,0,19,13,200,0,0,8872,16146.29,228935,228735,0
2021-01-11,25809,234006,7463,27956,2,47,58,239,6,25,64,264,0,0,33338,19041.71,262273,262009,0
2021-01-12,28240,262246,7868,35824,1,48,46,285,4,29,50,314,0,0,36159,21878.43,298432,298118,0
2021-01-13,31699,293945,9422,45246,1,49,61,346,5,34,66,380,0,0,41188,24653.14,339620,339240,0
2021-01-14,35796,329741,5305,50551,1,50,33,379,7,41,40,420,0,0,41142,27419.57,380762,380342,0
2021-01-15,29248,358989,3714,54265,2,52,33,412,6,47,39,459,0,0,33003,28975,413765,413306,0
2021-01-16,30258,389247,2397,56662,0,52,25,437,6,53,31,490,0,0,32686,32341.14,446451,445961,0
2021-01-17,23726,412973,1645,58307,0,52,20,457,1,54,21,511,0,0,25392,34701.14,471843,471332,0
2021-01-18,27081,440054,2426,60733,0,52,37,494,7,61,44,555,0,0,29552,34160.29,501395,500840,0
2021-01-19,34268,474322,9643,70376,1,53,72,566,8,69,80,635,0,0,43992,35279.29,545387,544752,0
2021-01-20,34845,509167,9505,79881,1,54,62,628,3,72,65,700,0,0,44416,35740.43,589803,589103,0
2021-01-21,25574,534741,8097,87978,2,56,55,683,5,77,60,760,0,0,33733,34682,623536,622776,0
2021-01-22,24741,559482,4387,92365,1,57,31,714,7,84,38,798,0,0,29167,34134,652703,651905,0
2021-01-23,15733,575215,3226,95591,0,57,12,726,2,86,14,812,0,0,18973,32175,671676,670864,0
2021-01-24,7169,582384,3458,99049,0,57,20,746,1,87,21,833,0,0,10648,30068.71,682324,681491,0
2021-01-25,13392,595776,11831,110880,0,57,69,815,14,101,83,916,0,0,25306,29462.14,707630,706714,0
2021-01-26,16746,612522,10764,121644,0,57,69,884,3,104,73,989,0,0,27583,27118,735213,734225,0
2021-01-27,20819,633341,12355,133999,0,57,55,939,9,113,64,1053,0,0,33240,25521.43,768453,767401,0
2021-01-28,30727,664068,12859,146858,0,57,86,1025,16,129,102,1155,0,0,43691,26944,812144,810990,0
2021-01-29,31666,695734,11514,158372,0,57,85,1110,11,140,96,1251,0,0,43276,28959.57,855420,854170,0
2021-01-30,18706,714440,3743,162115,0,57,23,1133,2,142,26,1277,0,0,22475,29459.86,877895,876620,0
2021-01-31,13005,727445,2931,165046,1,58,28,1161,5,147,33,1310,0,0,15970,30220.14,893865,892557,0
2021-02-01,1180,728625,5400,170446,4,62,37,1198,4,151,41,1351,0,0,6625,27551.43,900490,899141,0
2021-02-02,2823,731448,9442,179888,2,64,54,1252,3,154,57,1408,0,0,12324,25371.57,912814,911408,0
2021-02-03,16342,747790,21235,201123,4,68,214,1466,22,176,236,1644,0,0,37817,26025.43,950631,948989,0
2021-02-04,27031,774821,19653,220776,3,71,212,1678,10,186,222,1866,0,0,46909,26485.14,997540,995676,0
2021-02-05,27577,802398,20028,240804,0,71,197,1875,16,202,214,2080,0,0,47819,27134.14,1045359,1043282,0
2021-02-06,22974,825372,11249,252053,0,71,117,1992,13,215,130,2210,0,0,34353,28831,1079712,1077505,0
2021-02-07,12029,837401,8285,260338,1,72,98,2090,12,227,111,2321,0,0,20426,29467.57,1100138,1097821,0
2021-02-08,16933,854334,23529,283867,2,74,240,2330,37,264,278,2599,0,0,40742,34341.43,1140880,1138286,0
2021-02-09,17183,871517,28090,311957,2,76,358,2688,42,306,403,3002,0,0,45678,39106.29,1186558,1183564,0
2021-02-10,19577,891094,29303,341260,2,78,275,2963,52,358,330,3332,0,0,49213,40734.29,1235771,1232450,0
2021-02-11,27827,918921,33458,374718,2,80,355,3318,58,416,413,3745,0,0,61702,42847.57,1297473,1293739,0
2021-02-12,38348,957269,30810,405528,3,83,365,3683,42,458,408,4153,0,0,69569,45954.71,1367042,1362901,0
2021-02-13,27980,985249,25318,430846,2,85,314,3997,58,516,373,4526,0,0,53674,48714.86,1420716,1416203,0
2021-02-14,16257,1001506,23722,454568,0,85,281,4278,35,551,316,4842,0,0,40295,51553.29,1461011,1456182,0
2021-02-15,12788,1014294,10528,465096,2,87,179,4457,24,575,204,5046,0,0,23522,49093.29,1484533,1479501,0
2021-02-16,14229,1028523,26709,491805,0,87,342,4799,41,616,384,5430,0,0,41322,48471,1525855,1520440,0
