"DATE","AGE_GROUP","RACE_ETHNICITY","CITY_COUNT_1PLUS_CUMULATIVE","BX_COUNT_1PLUS_CUMULATIVE","BK_COUNT_1PLUS_CUMULATIVE","MH_COUNT_1PLUS_CUMULATIVE","QS_COUNT_1PLUS_CUMULATIVE","SI_COUNT_1PLUS_CUMULATIVE","CITY_PERC_1PLUS","BK_PERC_1PLUS","BX_PERC_1PLUS","MH_PERC_1PLUS","QS_PERC_1PLUS","SI_PERC_1PLUS"
2023-08-31,"Boroughwide","Boroughwide","7574056","1225375","2114529","1658869","2178677","396606","90.8506927763918","82.6019189008334","86.4031132267716","101.851961004626","96.6643417642105","83.2955645677874"
2023-08-31,"All ages","Asian/NHPI","1381259","57174","361084","244928","661166","56907","111.97","112.87","98.62","119.62","110.23","111.2"
2023-08-31,"All ages","Black","1265268","292476","517011","152381","270246","33154","69.3","67.97","70.53","75.5","66.89","74.2"
2023-08-31,"All ages","Hispanic/Latino","2109588","624086","399994","410787","605925","68796","87.04","82.7","78.05","98.57","95.43","77.61"
2023-08-31,"All ages","White","1924931","93221","593948","659823","385770","192169","71.77","63.1","72.95","85.79","68.87","67.74"
2023-08-31,"'0-4","Asian/NHPI","16612","687","5477","4152","5549","747","24.77","26.58","19.92","51.32","17.15","29.01"
2023-08-31,"'0-4","Black","4984","1571","1682","1014","639","78","4.68","3.68","5.83","11.18","2.93","2.62"
2023-08-31,"'0-4","Hispanic/Latino","12380","3612","2157","2984","3401","226","7.05","6.04","5.91","12.83","7.08","3.04"
2023-08-31,"'0-4","White","26349","836","10988","11177","3027","321","17.27","15.11","12.8","35.37","10.71","2.39"
2023-08-31,"'5-12","Asian/NHPI","105990","5192","31689","13840","49772","5497","112.62","112.05","99.45","150.77","106.09","121.64"
2023-08-31,"'5-12","Black","74064","21131","28227","8331","14099","2276","45.61","41.98","50.58","56.56","41.82","46.29"
2023-08-31,"'5-12","Hispanic/Latino","155049","50709","29276","24090","45873","5101","57.86","53.13","52.57","68.01","66.18","43.63"
2023-08-31,"'5-12","White","78878","3898","25270","31295","13197","5218","40.2","27.35","45.11","91.17","34.92","22.61"
2023-08-31,"'13-17","Asian/NHPI","69762","3570","19867","7450","35391","3484","127.28","127.52","105.71","155.93","126.5","112.36"
2023-08-31,"'13-17","Black","77795","19937","31639","7658","15857","2704","74.74","73.55","77.22","80.8","70.21","84.65"
2023-08-31,"'13-17","Hispanic/Latino","153366","50023","28401","25871","43155","5916","98.31","90.06","88.5","119.21","110.45","82.58"
2023-08-31,"'13-17","White","64096","4102","18645","19139","13639","8571","60.13","39.94","81.25","107.22","63.76","54.9"
2023-08-31,"'18-44","Asian/NHPI","622210","24738","163420","136647","275304","22101","121.24","122.55","106.3","126.15","120.08","116.3"
2023-08-31,"'18-44","Black","512933","116297","212870","64686","104862","14218","74.74","74.61","74.36","80.02","71.57","82.25"
2023-08-31,"'18-44","Hispanic/Latino","996205","277070","200323","194187","292033","32592","101.43","99.72","86.7","111.34","116.03","91.46"
2023-08-31,"'18-44","White","864531","32551","301033","317819","147215","65913","80.34","76.33","80.91","88.04","76.88","74.06"
2023-08-31,"'45-64","Asian/NHPI","377476","15712","93807","52743","198555","16659","115","114.98","104.4","118.5","115.12","114.01"
2023-08-31,"'45-64","Black","384958","90016","154450","44951","85822","9719","79.25","77.93","83.47","82.79","75.29","85.22"
2023-08-31,"'45-64","Hispanic/Latino","549980","168352","97439","106274","159810","18105","98.66","92.03","94.29","109.17","102.51","91.53"
2023-08-31,"'45-64","White","489928","26164","138150","154110","107961","63543","78.37","73.9","83.83","86.4","74.19","76.47"
2023-08-31,"'65+","Asian/NHPI","189209","7275","46824","30096","96595","8419","107.39","115.59","95.65","100.74","106.36","114.28"
2023-08-31,"'65+","Black","210534","43524","88143","25741","48967","4159","74.97","72.75","77.86","77.02","74.84","84.89"
2023-08-31,"'65+","Hispanic/Latino","242608","74320","42398","57381","61653","6856","85.32","77.74","85.07","88.81","86.94","99.09"
2023-08-31,"'65+","White","401149","25670","99862","126283","100731","48603","76.35","67.41","71.07","86.52","74.24","81.7"
