"DATE","BOROUGH","SEX","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-03-03,"Bronx","Female",748659,"59228","584800","644028","256716","74171",7.91,78.11,86.02,34.29,9.91
2023-03-03,"Bronx","Male",669549,"65005","503834","568839","191122","58094",9.71,75.25,84.96,28.54,8.68
2023-03-03,"Bronx","Other",,"95","290","385","90","13",,,,,
2023-03-03,"Bronx","Prefer not to answer",,"636","1619","2255","414","26",,,,,
2023-03-03,"Bronx","Unknown",,"440","3160","3600","1042","91",,,,,
2023-03-03,"Brooklyn","Female",1347707,"99205","1006508","1105713","506330","178142",7.36,74.68,82.04,37.57,13.22
2023-03-03,"Brooklyn","Male",1212194,"102763","879970","982733","406253","144371",8.48,72.59,81.07,33.51,11.91
2023-03-03,"Brooklyn","Other",,"193","1033","1226","461","81",,,,,
2023-03-03,"Brooklyn","Prefer not to answer",,"1526","4217","5743","1530","142",,,,,
2023-03-03,"Brooklyn","Unknown",,"853","10038","10891","3483","285",,,,,
2023-03-03,"Manhattan","Female",857229,"122185","741286","863471","445215","242108",14.25,86.47,100.73,51.94,28.24
2023-03-03,"Manhattan","Male",771477,"112515","661993","774508","375827","199387",14.58,85.81,100.39,48.72,25.84
2023-03-03,"Manhattan","Other",,"122","414","536","171","58",,,,,
2023-03-03,"Manhattan","Prefer not to answer",,"1201","2269","3470","1016","104",,,,,
2023-03-03,"Manhattan","Unknown",,"850","5587","6437","1754","349",,,,,
2023-03-03,"Queens","Female",1159969,"93948","1017133","1111081","540632","162104",8.1,87.69,95.79,46.61,13.97
2023-03-03,"Queens","Male",1093888,"99074","944141","1043215","453110","136267",9.06,86.31,95.37,41.42,12.46
2023-03-03,"Queens","Other",,"177","602","779","224","36",,,,,
2023-03-03,"Queens","Prefer not to answer",,"1401","3583","4984","1464","66",,,,,
2023-03-03,"Queens","Unknown",,"779","10194","10973","3776","300",,,,,
2023-03-03,"Staten Island","Female",244813,"13973","189101","203074","92128","24698",5.71,77.24,82.95,37.63,10.09
2023-03-03,"Staten Island","Male",231330,"15401","173934","189335","77054","21862",6.66,75.19,81.85,33.31,9.45
2023-03-03,"Staten Island","Other",,"20","57","77","--","--",,,,,
2023-03-03,"Staten Island","Prefer not to answer",,"375","1041","1416","306","14",,,,,
2023-03-03,"Staten Island","Unknown",,"72","1178","1250","543","47",,,,,
2023-03-03,"Citywide","Female",4358377,"388539","3538828","3927367","1841021","681223",8.91,81.2,90.11,42.24,15.63
2023-03-03,"Citywide","Male",3978438,"394758","3163872","3558630","1503366","559981",9.92,79.53,89.45,37.79,14.08
2023-03-03,"Citywide","Other",,"607","2396","3003","955","190",,,,,
2023-03-03,"Citywide","Prefer not to answer",,"5139","12729","17868","4730","352",,,,,
2023-03-03,"Citywide","Unknown",,"2994","30157","33151","10598","1072",,,,,
