"DATE","POPULATION","GROUP","SUBGROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-01-05,"All ages","Age","'0-17",1704118,"123432","768769","892201","190949","61981",7.24,45.11,52.36,11.21,3.64
2023-01-05,"All ages","Age","'18-24",704673,"128495","645065","773560","256952","60094",18.23,91.54,109.78,36.46,8.53
2023-01-05,"All ages","Age","'25-34",1483699,"188326","1259771","1448097","541527","182717",12.69,84.91,97.6,36.5,12.31
2023-01-05,"All ages","Age","'35-44",1136906,"116592","1070987","1187579","501288","153790",10.26,94.2,104.46,44.09,13.53
2023-01-05,"All ages","Age","'45-54",1028087,"83643","957543","1041186","516009","144301",8.14,93.14,101.27,50.19,14.04
2023-01-05,"All ages","Age","'55-64",998927,"70708","939807","1010515","581538","185653",7.08,94.08,101.16,58.22,18.59
2023-01-05,"All ages","Age","'65-74",718795,"45343","657598","702941","464957","191736",6.31,91.49,97.79,64.69,26.67
2023-01-05,"All ages","Age","'75-84",382672,"20968","310088","331056","224389","94863",5.48,81.03,86.51,58.64,24.79
2023-01-05,"All ages","Age","'85+",178938,"8540","116240","124780","77712","30134",4.77,64.96,69.73,43.43,16.84
2023-01-05,"All ages","Race/ethnicity","Asian/NHPI",1233643,"123226","1241884","1365110","783137","227148",9.99,100.67,110.66,63.48,18.41
2023-01-05,"All ages","Race/ethnicity","Black",1825847,"110071","1140992","1251063","512836","129822",6.03,62.49,68.52,28.09,7.11
2023-01-05,"All ages","Race/ethnicity","Hispanic/Latino",2423589,"259526","1822340","2081866","730724","171148",10.71,75.19,85.9,30.15,7.06
2023-01-05,"All ages","Race/ethnicity","Native American/Alaska Native",18864,"2327","22987","25314","12870","4221",12.34,121.86,134.19,68.23,22.38
2023-01-05,"All ages","Race/ethnicity","White",2681975,"146783","1762105","1908888","1096742","517110",5.47,65.7,71.17,40.89,19.28
2023-01-05,"All ages","Sex","Female",4358377,"385308","3526188","3911496","1837511","606080",8.84,80.91,89.75,42.16,13.91
2023-01-05,"All ages","Sex","Male",3978438,"391894","3152905","3544799","1500644","497664",9.85,79.25,89.1,37.72,12.51
