"DATE","POPULATION_0_17","GROUP","SUBGROUP","POP_DENOMINATOR_0_17","COUNT_PARTIALLY_CUMULATIVE_0_17","COUNT_FULLY_CUMULATIVE_0_17","COUNT_1PLUS_CUMULATIVE_0_17","COUNT_ADDITIONAL_CUMULATIVE_0_17","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_0_17","PERC_PARTIALLY_0_17","PERC_FULLY_0_17","PERC_1PLUS_0_17","PERC_ADDITIONAL_0_17","PERC_BIVALENT_ADDITIONAL_0_17","POPULATION_5_17","POP_DENOMINATOR_5_17","COUNT_ADDITIONAL_CUMULATIVE_5_17","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_5_17","PERC_ADDITIONAL_5_17","PERC_BIVALENT_ADDITIONAL_5_17"
2023-03-03,"Children (0-17)","Age","'0-4",523718,"23378","35827","59205","39","4971",4.46,6.84,11.3,0.01,0.95,"Children (5-17)",,,," ",
2023-03-03,"Children (0-17)","Age","'5-12",747560,"55844","382494","438338","67562","43733",7.47,51.17,58.64,9.04,5.85,"Children (5-17)",,,,"9.04",5.85
2023-03-03,"Children (0-17)","Age","'13-17",432840,"43763","359756","403519","124565","31387",10.11,83.12,93.23,28.78,7.25,"Children (5-17)",,,,"28.78",7.25
2023-03-03,"Children (0-17)","Race/ethnicity","Asian/NHPI",216001,"15525","174014","189539","56667","21599",7.19,80.56,87.75,26.23,10,"Children (5-17)",148929,"56654","20340","13.66",13.66
2023-03-03,"Children (0-17)","Race/ethnicity","Black",373001,"21259","133981","155240","23326","7834",5.7,35.92,41.62,6.25,2.1,"Children (5-17)",266475,"23320","7538","2.83",2.83
2023-03-03,"Children (0-17)","Race/ethnicity","Hispanic/Latino",599599,"54042","261181","315223","48288","17581",9.01,43.56,52.57,8.05,2.93,"Children (5-17)",423992,"48282","16789","3.96",3.96
2023-03-03,"Children (0-17)","Race/ethnicity","Native American/Alaska Native",3842,"257","2741","2998","924","263",6.69,71.34,78.03,24.05,6.85,"Children (5-17)",3156,"924","258","8.17",8.17
2023-03-03,"Children (0-17)","Race/ethnicity","White",455358,"16952","149987","166939","52787","28681",3.72,32.94,36.66,11.59,6.3,"Children (5-17)",302818,"52774","26461","8.74",8.74
2023-03-03,"Children (0-17)","Sex","Female",834085,"59606","386332","445938","98654","40344",7.15,46.32,53.46,11.83,4.84,"Children (5-17)",578536,"98634","37973","6.56",6.56
2023-03-03,"Children (0-17)","Sex","Male",870033,"62415","389391","451806","93097","39680",7.17,44.76,51.93,10.7,4.56,"Children (5-17)",601864,"93078","37080","6.16",6.16
