"DATE","POPULATION","GROUP","SUBGROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-02-02,"Children (0-17)","Age","'0-4",523718,"23759","33558","57317","32","3330",4.54,6.41,10.94,0.01,0.64
2023-02-02,"Children (0-17)","Age","'5-12",747560,"55747","381208","436955","67185","40254",7.46,50.99,58.45,8.99,5.38
2023-02-02,"Children (0-17)","Age","'13-17",432840,"43648","359224","402872","124329","29549",10.08,82.99,93.08,28.72,6.83
2023-02-02,"Children (0-17)","Borough","Citywide",1704118,"123154","773990","897144","191546","73133",7.23,45.42,52.65,11.24,4.29
2023-02-02,"Children (0-17)","Borough","Bronx",347020,"26150","149443","175593","26972","9419",7.54,43.06,50.6,7.77,2.71
2023-02-02,"Children (0-17)","Borough","Brooklyn",575063,"30094","217898","247992","53511","20832",5.23,37.89,43.12,9.31,3.62
2023-02-02,"Children (0-17)","Borough","Manhattan",231257,"33027","137478","170505","47672","24969",14.28,59.45,73.73,20.61,10.8
2023-02-02,"Children (0-17)","Borough","Queens",447805,"28833","230498","259331","54804","15938",6.44,51.47,57.91,12.24,3.56
2023-02-02,"Children (0-17)","Borough","Staten Island",102973,"5050","38673","43723","8587","1975",4.9,37.56,42.46,8.34,1.92
2023-02-02,"Children (0-17)","Race/ethnicity","Asian/NHPI",216001,"15700","172973","188673","56526","19561",7.27,80.08,87.35,26.17,9.06
2023-02-02,"Children (0-17)","Race/ethnicity","Black",373001,"21305","133438","154743","23242","7042",5.71,35.77,41.49,6.23,1.89
2023-02-02,"Children (0-17)","Race/ethnicity","Hispanic/Latino",599599,"53538","259850","313388","48012","15416",8.93,43.34,52.27,8.01,2.57
2023-02-02,"Children (0-17)","Race/ethnicity","Native American/Alaska Native",3842,"258","2729","2987","925","249",6.72,71.03,77.75,24.08,6.48
2023-02-02,"Children (0-17)","Race/ethnicity","Other",,"6396","23611","30007","3745","1061",,,,,
2023-02-02,"Children (0-17)","Race/ethnicity","Multiracial",56317,"517","3324","3841","640","563",0.92,5.9,6.82,1.14,1
2023-02-02,"Children (0-17)","Race/ethnicity","Unknown",,"8091","29163","37254","5806","2101",,,,,
2023-02-02,"Children (0-17)","Race/ethnicity","White",455358,"17349","148902","166251","52650","27140",3.81,32.7,36.51,11.56,5.96
2023-02-02,"Children (0-17)","Sex","Female",834085,"59665","384310","443975","98355","36829",7.15,46.08,53.23,11.79,4.42
2023-02-02,"Children (0-17)","Sex","Male",870033,"62540","387265","449805","92769","36247",7.19,44.51,51.7,10.66,4.17
2023-02-02,"Children (0-17)","Sex","Other",,"53","158","211","38","--",,,,,
2023-02-02,"Children (0-17)","Sex","Prefer not to answer",,"679","1595","2274","184","10",,,,,
2023-02-02,"Children (0-17)","Sex","Unknown",,"217","662","879","200","46",,,,,
2023-02-02,"Children (5-17)","Borough","Citywide",1180400,"99395","740432","839827","191514","69803",8.42,62.73,71.15,16.22,5.91
2023-02-02,"Children (5-17)","Borough","Bronx",246821,"22187","147341","169528","26971","9148",8.99,59.7,68.68,10.93,3.71
2023-02-02,"Children (5-17)","Borough","Brooklyn",392137,"23428","205113","228541","53503","19766",5.97,52.31,58.28,13.64,5.04
2023-02-02,"Children (5-17)","Borough","Manhattan",155113,"25925","125775","151700","47662","23646",16.71,81.09,97.8,30.73,15.24
2023-02-02,"Children (5-17)","Borough","Queens",310710,"23447","224164","247611","54794","15321",7.55,72.15,79.69,17.64,4.93
2023-02-02,"Children (5-17)","Borough","Staten Island",75619,"4408","38039","42447","8584","1922",5.83,50.3,56.13,11.35,2.54
2023-02-02,"Children (5-17)","Race/ethnicity","Asian/NHPI",148929,"9974","164025","173999","56515","18703",6.7,110.14,116.83,37.95,12.56
2023-02-02,"Children (5-17)","Race/ethnicity","Black",266475,"18657","131738","150395","23237","6865",7,49.44,56.44,8.72,2.58
2023-02-02,"Children (5-17)","Race/ethnicity","Hispanic/Latino",423992,"47097","256241","303338","48009","14918",11.11,60.44,71.54,11.32,3.52
2023-02-02,"Children (5-17)","Race/ethnicity","Native American/Alaska Native",3156,"224","2713","2937","925","248",7.1,85.96,93.06,29.31,7.86
2023-02-02,"Children (5-17)","Race/ethnicity","Other",,"6105","23388","29493","3745","1033",,,,,
2023-02-02,"Children (5-17)","Race/ethnicity","Multiracial",35030,"255","2718","2973","639","497",0.73,7.76,8.49,1.82,1.42
2023-02-02,"Children (5-17)","Race/ethnicity","Unknown",,"6653","27701","34354","5806","1939",,,,,
2023-02-02,"Children (5-17)","Race/ethnicity","White",302818,"10430","131908","142338","52638","25600",3.44,43.56,47,17.38,8.45
2023-02-02,"Children (5-17)","Sex","Female",578536,"48127","367697","415824","98340","35245",8.32,63.56,71.88,17,6.09
2023-02-02,"Children (5-17)","Sex","Male",601864,"50342","370355","420697","92752","34501",8.36,61.53,69.9,15.41,5.73
2023-02-02,"Children (5-17)","Sex","Other",,"51","157","208","38","--",,,,,
2023-02-02,"Children (5-17)","Sex","Prefer not to answer",,"665","1570","2235","184","10",,,,,
2023-02-02,"Children (5-17)","Sex","Unknown",,"210","653","863","200","46",,,,,
2023-02-02,"Children (13-17)","Borough","Citywide",432840,"43648","359224","402872","124329","29549",10.08,82.99,93.08,28.72,6.83
2023-02-02,"Children (13-17)","Borough","Bronx",92109,"9062","75537","84599","18846","4543",9.84,82.01,91.85,20.46,4.93
2023-02-02,"Children (13-17)","Borough","Brooklyn",140160,"10063","98587","108650","32415","7487",7.18,70.34,77.52,23.13,5.34
2023-02-02,"Children (13-17)","Borough","Manhattan",55915,"13255","54685","67940","27066","9662",23.71,97.8,121.51,48.41,17.28
2023-02-02,"Children (13-17)","Borough","Queens",114791,"9377","108931","118308","39478","6875",8.17,94.9,103.06,34.39,5.99
2023-02-02,"Children (13-17)","Borough","Staten Island",29865,"1891","21484","23375","6524","982",6.33,71.94,78.27,21.84,3.29
2023-02-02,"Children (13-17)","Race/ethnicity","Asian/NHPI",54813,"3266","65940","69206","36547","7523",5.96,120.3,126.26,66.68,13.72
2023-02-02,"Children (13-17)","Race/ethnicity","Black",104093,"8081","68967","77048","16507","3422",7.76,66.26,74.02,15.86,3.29
2023-02-02,"Children (13-17)","Race/ethnicity","Hispanic/Latino",155999,"20948","130317","151265","33921","7143",13.43,83.54,96.97,21.74,4.58
2023-02-02,"Children (13-17)","Race/ethnicity","Native American/Alaska Native",1560,"115","1793","1908","753","153",7.37,114.94,122.31,48.27,9.81
2023-02-02,"Children (13-17)","Race/ethnicity","Other",,"3417","15596","19013","2924","622",,,,,
2023-02-02,"Children (13-17)","Race/ethnicity","Multiracial",9789,"25","142","167","73","26",0.26,1.45,1.71,0.75,0.27
2023-02-02,"Children (13-17)","Race/ethnicity","Unknown",,"3550","17107","20657","4142","926",,,,,
2023-02-02,"Children (13-17)","Race/ethnicity","White",106586,"4246","59362","63608","29462","9734",3.98,55.69,59.68,27.64,9.13
2023-02-02,"Children (13-17)","Sex","Female",212831,"20996","179975","200971","65178","15536",9.87,84.56,94.43,30.62,7.3
2023-02-02,"Children (13-17)","Sex","Male",220009,"22224","178041","200265","58819","13971",10.1,80.92,91.03,26.73,6.35
2023-02-02,"Children (13-17)","Sex","Other",,"21","93","114","30","--",,,,,
2023-02-02,"Children (13-17)","Sex","Prefer not to answer",,"236","583","819","133","--",,,,,
2023-02-02,"Children (13-17)","Sex","Unknown",,"171","532","703","169","39",,,,,
2023-02-02,"Adults (18+)","Age","'18-24",704673,"129227","646931","776158","257374","66584",18.34,91.81,110.14,36.52,9.45
2023-02-02,"Adults (18+)","Age","'25-34",1483699,"189501","1261795","1451296","542020","194541",12.77,85.04,97.82,36.53,13.11
2023-02-02,"Adults (18+)","Age","'35-44",1136906,"117461","1072086","1189547","501603","164724",10.33,94.3,104.63,44.12,14.49
2023-02-02,"Adults (18+)","Age","'45-54",1028087,"84215","958417","1042632","516268","157280",8.19,93.22,101.41,50.22,15.3
2023-02-02,"Adults (18+)","Age","'55-64",998927,"71231","940634","1011865","581828","202474",7.13,94.16,101.3,58.25,20.27
2023-02-02,"Adults (18+)","Age","'65-74",718795,"45545","658222","703767","465171","205765",6.34,91.57,97.91,64.72,28.63
2023-02-02,"Adults (18+)","Age","'75-84",382672,"21034","310323","331357","224471","101272",5.5,81.09,86.59,58.66,26.46
2023-02-02,"Adults (18+)","Age","'85+",178938,"8555","116365","124920","77767","32354",4.78,65.03,69.81,43.46,18.08
2023-02-02,"Adults (18+)","Borough","Citywide",6632697,"666769","5964773","6631542","3166502","1124994",10.05,89.93,99.98,47.74,16.96
2023-02-02,"Adults (18+)","Borough","Bronx",1071188,"99170","942539","1041709","422072","115032",9.26,87.99,97.25,39.4,10.74
2023-02-02,"Adults (18+)","Borough","Brooklyn",1984838,"174279","1681215","1855494","863662","290372",8.78,84.7,93.48,43.51,14.63
2023-02-02,"Adults (18+)","Borough","Manhattan",1397449,"202653","1271852","1474505","775636","406033",14.5,91.01,105.51,55.5,29.06
2023-02-02,"Adults (18+)","Borough","Queens",1806052,"165926","1742929","1908855","943801","270495",9.19,96.5,105.69,52.26,14.98
2023-02-02,"Adults (18+)","Borough","Staten Island",373170,"24741","326238","350979","161331","43062",6.63,87.42,94.05,43.23,11.54
2023-02-02,"Adults (18+)","Race/ethnicity","Asian/NHPI",1017642,"108652","1072855","1181507","727606","234523",10.68,105.43,116.1,71.5,23.05
