"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-13,"Chelsea/NoMad/West Chelsea","Manhattan","10001","10001, 10118","18+",25536.66,10099,31648,41747,15165,8900,39.55,123.93,163.48,59.39,34.85
2023-07-13,"Chinatown/Lower East Side","Manhattan","10002","10002","18+",63973.22,7629,63114,70743,40360,17401,11.93,98.66,110.58,63.09,27.2
2023-07-13,"East Village/Gramercy/Greenwich Village","Manhattan","10003","10003","18+",50398.54,7390,40177,47567,26781,17159,14.66,79.72,94.38,53.14,34.05
2023-07-13,"Financial District","Manhattan","10004","10004","18+",2684.95,861,3900,4761,2252,1282,32.07,145.25,177.32,83.87,47.75
2023-07-13,"Financial District","Manhattan","10005","10005","18+",8169.56,1839,8372,10211,4942,2794,22.51,102.48,124.99,60.49,34.2
2023-07-13,"Financial District","Manhattan","10006","10006","18+",3155.66,1169,4296,5465,2123,1212,37.04,136.14,173.18,67.28,38.41
2023-07-13,"TriBeCa","Manhattan","10007","10007","18+",5573.4,1265,6341,7606,4040,2357,22.7,113.77,136.47,72.49,42.29
2023-07-13,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan","10009","10009","18+",50563.97,5697,44708,50405,28487,15133,11.27,88.42,99.69,56.34,29.93
2023-07-13,"Flatiron/Gramercy/Kips Bay","Manhattan","10010","10010","18+",30671.32,3788,25654,29442,17808,10556,12.35,83.64,95.99,58.06,34.42
2023-07-13,"Chelsea","Manhattan","10011","10011","18+",45084.43,5761,40301,46062,28085,17521,12.78,89.39,102.17,62.29,38.86
2023-07-13,"Greenwich Village/SoHo","Manhattan","10012","10012","18+",20884.75,2980,17294,20274,11411,6904,14.27,82.81,97.08,54.64,33.06
2023-07-13,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan","10013","10013","18+",24655.72,4059,23405,27464,15517,8308,16.46,94.93,111.39,62.93,33.7
2023-07-13,"Hudson Square/Meatpacking District/West Village","Manhattan","10014","10014","18+",27625.86,3459,24383,27842,16872,10086,12.52,88.26,100.78,61.07,36.51
2023-07-13,"Kips Bay/Murray Hill/NoMad","Manhattan","10016","10016","18+",47219.34,8134,47764,55898,30299,17251,17.23,101.15,118.38,64.17,36.53
2023-07-13,"East Midtown/Murray Hill","Manhattan","10017","10017","18+",14525.37,4957,16375,21332,9632,6195,34.13,112.73,146.86,66.31,42.65
2023-07-13,"Hell's Kitchen/Midtown Manhattan","Manhattan","10018","10018","18+",11074.47,8768,18729,27497,5217,3563,79.17,169.12,248.29,47.11,32.17
2023-07-13,"Hell's Kitchen/Midtown Manhattan","Manhattan","10019","10019, 10020","18+",40079.15,15000,49105,64105,26780,16954,37.43,122.52,159.95,66.82,42.3
2023-07-13,"Lenox Hill/Upper East Side","Manhattan","10021","10021","18+",39649.27,3839,34893,38732,25714,16131,9.68,88,97.69,64.85,40.68
2023-07-13,"East Midtown","Manhattan","10022","10022","18+",28093.47,5870,29120,34990,19337,13022,20.89,103.65,124.55,68.83,46.35
2023-07-13,"Lincoln Square","Manhattan","10023","10023","18+",53514.3,7036,51226,58262,36748,24716,13.15,95.72,108.87,68.67,46.19
2023-07-13,"Upper West Side","Manhattan","10024","10024","18+",48892.24,5093,44555,49648,33150,21958,10.42,91.13,101.55,67.8,44.91
2023-07-13,"Manhattan Valley/Morningside Heights/Upper West Side","Manhattan","10025","10025","18+",78357.64,9962,70340,80302,48186,31260,12.71,89.77,102.48,61.49,39.89
