"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-27,"Chelsea/NoMad/West Chelsea","Manhattan","10001","10001, 10118","All ages",27613.09,12013,33438,45451,15684,9388,43.5,121.09,164.6,56.8,34
2023-07-27,"Chinatown/Lower East Side","Manhattan","10002","10002","All ages",75322.71,8454,69901,78355,42616,18649,11.22,92.8,104.03,56.58,24.76
2023-07-27,"East Village/Gramercy/Greenwich Village","Manhattan","10003","10003","All ages",53977.81,7870,42832,50702,27928,17980,14.58,79.35,93.93,51.74,33.31
2023-07-27,"Financial District","Manhattan","10004","10004","All ages",2972.12,1032,4438,5470,2467,1468,34.72,149.32,184.04,83,49.39
2023-07-27,"Financial District","Manhattan","10005","10005","All ages",8757.23,2007,9015,11022,5175,2975,22.92,102.94,125.86,59.09,33.97
2023-07-27,"Financial District","Manhattan","10006","10006","All ages",3381.8,1367,4623,5990,2230,1300,40.42,136.7,177.12,65.94,38.44
2023-07-27,"TriBeCa","Manhattan","10007","10007","All ages",6991.45,1496,7555,9051,4556,2721,21.4,108.06,129.46,65.17,38.92
2023-07-27,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan","10009","10009","All ages",57151.12,6166,48211,54377,29555,15906,10.79,84.36,95.15,51.71,27.83
2023-07-27,"Flatiron/Gramercy/Kips Bay","Manhattan","10010","10010","All ages",33353,4136,28184,32320,18828,11264,12.4,84.5,96.9,56.45,33.77
2023-07-27,"Chelsea","Manhattan","10011","10011","All ages",49745.99,6387,43521,49908,29461,18494,12.84,87.49,100.33,59.22,37.18
2023-07-27,"Greenwich Village/SoHo","Manhattan","10012","10012","All ages",23152.07,3200,18665,21865,12006,7334,13.82,80.62,94.44,51.86,31.68
2023-07-27,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan","10013","10013","All ages",28818.86,4605,26902,31507,16953,9226,15.98,93.35,109.33,58.83,32.01
2023-07-27,"Hudson Square/Meatpacking District/West Village","Manhattan","10014","10014","All ages",30336.05,3728,26198,29926,17608,10598,12.29,86.36,98.65,58.04,34.94
2023-07-27,"Kips Bay/Murray Hill/NoMad","Manhattan","10016","10016","All ages",50912.11,8873,50868,59741,31409,18142,17.43,99.91,117.34,61.69,35.63
2023-07-27,"East Midtown/Murray Hill","Manhattan","10017","10017","All ages",15613.27,5764,17507,23271,9992,6536,36.92,112.13,149.05,64,41.86
2023-07-27,"Hell's Kitchen/Midtown Manhattan","Manhattan","10018","10018","All ages",11790.55,10875,19267,30142,5343,3721,92.23,163.41,255.65,45.32,31.56
2023-07-27,"Hell's Kitchen/Midtown Manhattan","Manhattan","10019","10019, 10020","All ages",43522.4,18124,51821,69945,27598,17757,41.64,119.07,160.71,63.41,40.8
2023-07-27,"Lenox Hill/Upper East Side","Manhattan","10021","10021","All ages",45875.54,4457,39378,43835,27533,17314,9.72,85.84,95.55,60.02,37.74
2023-07-27,"East Midtown","Manhattan","10022","10022","All ages",30896.18,6686,31734,38420,20320,13743,21.64,102.71,124.35,65.77,44.48
2023-07-27,"Lincoln Square","Manhattan","10023","10023","All ages",61782.48,8054,57717,65771,39603,26843,13.04,93.42,106.46,64.1,43.45
2023-07-27,"Upper West Side","Manhattan","10024","10024","All ages",58412.05,5902,51688,57590,36569,24408,10.1,88.49,98.59,62.61,41.79
2023-07-27,"Manhattan Valley/Morningside Heights/Upper West Side","Manhattan","10025","10025","All ages",91619.93,11011,78522,89533,51892,34050,12.02,85.7,97.72,56.64,37.16
2023-07-27,"Central Harlem (South)","Manhattan","10026","10026","All ages",38664.36,3639,28599,32238,14831,7536,9.41,73.97,83.38,38.36,19.49
2023-07-27,"Central Harlem (South)/Morningside Heights/West Harlem","Manhattan","10027","10027","All ages",63394.55,8876,47708,56584,24827,12969,14,75.26,89.26,39.16,20.46
2023-07-27,"Upper East Side/Yorkville","Manhattan","10028","10028","All ages",47370.29,4297,39865,44162,27994,17526,9.07,84.16,93.23,59.1,37
2023-07-27,"East Harlem","Manhattan","10029","10029","All ages",78224.82,7165,63414,70579,31289,12682,9.16,81.07,90.23,40,16.21
2023-07-27,"Central Harlem (North)","Manhattan","10030","10030","All ages",29269.87,2726,20618,23344,9338,3969,9.31,70.44,79.75,31.9,13.56
2023-07-27,"Hamilton Heights/West Harlem","Manhattan","10031","10031","All ages",59023.53,5593,43898,49491,20451,8413,9.48,74.37,83.85,34.65,14.25
2023-07-27,"Washington Heights (South)","Manhattan","10032","10032","All ages",63051.12,6167,47389,53556,22268,8854,9.78,75.16,84.94,35.32,14.04
2023-07-27,"Washington Heights (North)/Washington Heights (South)","Manhattan","10033","10033","All ages",58517.81,4931,42309,47240,20673,8458,8.43,72.3,80.73,35.33,14.45
2023-07-27,"Inwood/Washington Heights (North)","Manhattan","10034","10034","All ages",42241.84,3355,30428,33783,14442,5977,7.94,72.03,79.98,34.19,14.15
2023-07-27,"East Harlem","Manhattan","10035","10035","All ages",35240.03,3869,28713,32582,13426,5498,10.98,81.48,92.46,38.1,15.6
2023-07-27,"Hell's Kitchen/Midtown Manhattan","Manhattan","10036","10036","All ages",27242.15,16474,39996,56470,18075,11266,60.47,146.82,207.29,66.35,41.36
2023-07-27,"Central Harlem (North)/East Harlem","Manhattan","10037","10037","All ages",20793.37,3702,16922,20624,8067,4024,17.8,81.38,99.19,38.8,19.35
2023-07-27,"Chinatown/Financial District","Manhattan","10038","10038","All ages",22864.58,3914,20890,24804,12320,6767,17.12,91.36,108.48,53.88,29.6
2023-07-27,"Central Harlem (North)/Washington Heights (South)","Manhattan","10039","10039","All ages",27180.77,2526,19543,22069,8413,3550,9.29,71.9,81.19,30.95,13.06
2023-07-27,"Washington Heights (North)","Manhattan","10040","10040","All ages",43966.32,3556,32184,35740,15364,6197,8.09,73.2,81.29,34.94,14.09
2023-07-27,"Roosevelt Island","Manhattan","10044","10044","All ages",11671.84,1508,10583,12091,6501,3699,12.92,90.67,103.59,55.7,31.69
2023-07-27,"Lenox Hill/Upper East Side","Manhattan","10065","10065","All ages",27899.1,4438,26365,30803,17208,11069,15.91,94.5,110.41,61.68,39.68
2023-07-27,"Lincoln Square","Manhattan","10069","10069","All ages",6284.56,861,6669,7530,4256,2472,13.7,106.12,119.82,67.72,39.33
2023-07-27,"Lenox Hill/Upper East Side","Manhattan","10075","10075, 10162","All ages",23044.5,2761,23309,26070,16102,10131,11.98,101.15,113.13,69.87,43.96
2023-07-27,"Upper East Side/Yorkville","Manhattan","10128","10128","All ages",58558.8,6027,53232,59259,36869,22316,10.29,90.9,101.2,62.96,38.11
2023-07-27,"Battery Park City","Manhattan","10280","10280","All ages",9346.22,1023,7440,8463,4933,2900,10.95,79.6,90.55,52.78,31.03
2023-07-27,"Battery Park City","Manhattan","10282","10282","All ages",5571.94,690,4789,5479,2932,1737,12.38,85.95,98.33,52.62,31.17
2023-07-27,"Silver Lake/St. George","Staten Island","10301","10301","All ages",38904.96,3283,31059,34342,14858,5056,8.44,79.83,88.27,38.19,13
2023-07-27,"Elm Park","Staten Island","10302","10302","All ages",18484.97,1902,15152,17054,5634,1489,10.29,81.97,92.26,30.48,8.06
2023-07-27,"Graniteville/Mariner's Harbor/Port Ivory","Staten Island","10303","10303","All ages",26512.59,2082,20333,22415,8370,2205,7.85,76.69,84.54,31.57,8.32
2023-07-27,"New Dorp/Todt Hill","Staten Island","10304","10304","All ages",41886.87,3435,34226,37661,15935,4658,8.2,81.71,89.91,38.04,11.12
2023-07-27,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island","10305","10305","All ages",42856.19,2908,34692,37600,16497,4648,6.79,80.95,87.74,38.49,10.85
