"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL","AGE_GROUP_13_17","POP_DENOMINATOR_13_17","COUNT_ADDITIONAL_CUMULATIVE_13_17","PERC_ADDITIONAL_13_17","AGE_GROUP_5_17","POP_DENOMINATOR_5_17","COUNT_ADDITIONAL_CUMULATIVE_5_17","PERC_ADDITIONAL_5_17","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_5_17","PERC_BIVALENT_ADDITIONAL_5_17"
2023-08-10,"Chelsea/NoMad/West Chelsea","Manhattan","10001","10001, 10118","'0-17",2076.43,1910,1793,3703,"516","482",91.98,86.35,178.34,"24.85","23.21","'13-17",538.47,"282","52.37","'5-17",1362.29,"515","37.8","410","30.1"
2023-08-10,"Chinatown/Lower East Side","Manhattan","10002","10002","'0-17",11349.49,821,6785,7606,"2244","1227",7.23,59.78,67.02,"19.77","10.81","'13-17",2933.45,"1507","51.37","'5-17",8123.22,"2244","27.62","1075","13.23"
2023-08-10,"East Village/Gramercy/Greenwich Village","Manhattan","10003","10003","'0-17",3579.27,483,2662,3145,"1142","817",13.49,74.37,87.87,"31.91","22.83","'13-17",811.15,"610","75.2","'5-17",2242.79,"1140","50.83","692","30.85"
2023-08-10,"Financial District","Manhattan","10004","10004","'0-17",287.17,168,543,711,"218","185",58.5,189.09,247.59,"75.91","64.42","'13-17",47.63,"106","222.55","'5-17",144.1,"217","150.59","136","94.38"
2023-08-10,"Financial District","Manhattan","10005","10005","'0-17",587.67,168,634,802,"225","172",28.59,107.88,136.47,"38.29","29.27","'13-17",66.06,"112","169.55","'5-17",256.98,"225","87.55","122","47.47"
2023-08-10,"Financial District","Manhattan","10006","10006","'0-17",226.14,192,327,519,"107","84",84.9,144.6,229.51,"47.32","37.15","'13-17",42.28,"50","118.26","'5-17",114.96,"107","93.07","65","56.54"
2023-08-10,"TriBeCa","Manhattan","10007","10007","'0-17",1418.05,232,1218,1450,"516","357",16.36,85.89,102.25,"36.39","25.18","'13-17",168.19,"248","147.45","'5-17",708.82,"516","72.8","284","40.07"
2023-08-10,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan","10009","10009","'0-17",6587.16,465,3515,3980,"1074","756",7.06,53.36,60.42,"16.3","11.48","'13-17",1812.12,"649","35.81","'5-17",4704.57,"1071","22.77","634","13.48"
2023-08-10,"Flatiron/Gramercy/Kips Bay","Manhattan","10010","10010","'0-17",2681.68,341,2517,2858,"1012","689",12.72,93.86,106.58,"37.74","25.69","'13-17",522.97,"497","95.03","'5-17",1598.14,"1006","62.95","590","36.92"
2023-08-10,"Chelsea","Manhattan","10011","10011","'0-17",4661.55,619,3219,3838,"1375","956",13.28,69.05,82.33,"29.5","20.51","'13-17",959.24,"698","72.77","'5-17",2847.86,"1372","48.18","812","28.51"
2023-08-10,"Greenwich Village/SoHo","Manhattan","10012","10012","'0-17",2267.32,213,1394,1607,"613","433",9.39,61.48,70.88,"27.04","19.1","'13-17",491.24,"327","66.57","'5-17",1437.45,"613","42.64","362","25.18"
2023-08-10,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan","10013","10013","'0-17",4163.15,542,3505,4047,"1446","919",13.02,84.19,97.21,"34.73","22.07","'13-17",790.14,"803","101.63","'5-17",2614.86,"1445","55.26","786","30.06"
2023-08-10,"Hudson Square/Meatpacking District/West Village","Manhattan","10014","10014","'0-17",2710.19,270,1835,2105,"749","508",9.96,67.71,77.67,"27.64","18.74","'13-17",554.43,"405","73.05","'5-17",1704.81,"749","43.93","394","23.11"
2023-08-10,"Kips Bay/Murray Hill/NoMad","Manhattan","10016","10016","'0-17",3692.77,731,3133,3864,"1126","911",19.8,84.84,104.64,"30.49","24.67","'13-17",623.09,"609","97.74","'5-17",2037.38,"1122","55.07","708","34.75"
2023-08-10,"East Midtown/Murray Hill","Manhattan","10017","10017","'0-17",1087.9,818,1142,1960,"367","346",75.19,104.97,180.16,"33.73","31.8","'13-17",186.54,"203","108.82","'5-17",587.34,"367","62.48","292","49.72"
2023-08-10,"Hell's Kitchen/Midtown Manhattan","Manhattan","10018","10018","'0-17",716.08,2104,545,2649,"130","155",293.82,76.11,369.93,"18.15","21.65","'13-17",142.75,"92","64.45","'5-17",433.75,"130","29.97","133","30.66"
2023-08-10,"Hell's Kitchen/Midtown Manhattan","Manhattan","10019","10019, 10020","'0-17",3443.26,3108,2712,5820,"804","778",90.26,78.76,169.03,"23.35","22.59","'13-17",699.51,"438","62.61","'5-17",1947.92,"802","41.17","645","33.11"
2023-08-10,"Lenox Hill/Upper East Side","Manhattan","10021","10021","'0-17",6226.27,615,4465,5080,"1793","1158",9.88,71.71,81.59,"28.8","18.6","'13-17",1143.66,"1023","89.45","'5-17",3849.93,"1789","46.47","990","25.71"
2023-08-10,"East Midtown","Manhattan","10022","10022","'0-17",2802.71,815,2617,3432,"983","711",29.08,93.37,122.45,"35.07","25.37","'13-17",503.5,"541","107.45","'5-17",1647.94,"981","59.53","595","36.11"
2023-08-10,"Lincoln Square","Manhattan","10023","10023","'0-17",8268.18,1006,6516,7522,"2858","2119",12.17,78.81,90.98,"34.57","25.63","'13-17",1604.75,"1491","92.91","'5-17",4852.56,"2857","58.88","1717","35.38"
2023-08-10,"Upper West Side","Manhattan","10024","10024","'0-17",9519.82,804,7142,7946,"3419","2428",8.45,75.02,83.47,"35.91","25.5","'13-17",2115.4,"1754","82.92","'5-17",6214.8,"3412","54.9","2056","33.08"
2023-08-10,"Manhattan Valley/Morningside Heights/Upper West Side","Manhattan","10025","10025","'0-17",13262.28,1028,8178,9206,"3685","2751",7.75,61.66,69.41,"27.79","20.74","'13-17",3334.19,"1911","57.32","'5-17",9105.49,"3680","40.42","2320","25.48"
2023-08-10,"Central Harlem (South)","Manhattan","10026","10026","'0-17",7230.62,498,3809,4307,"1103","915",6.89,52.68,59.57,"15.25","12.65","'13-17",1773.39,"577","32.54","'5-17",5021.95,"1103","21.96","726","14.46"
2023-08-10,"Central Harlem (South)/Morningside Heights/West Harlem","Manhattan","10027","10027","'0-17",10627.45,1012,5200,6212,"1442","1054",9.52,48.93,58.45,"13.57","9.92","'13-17",2759.18,"847","30.7","'5-17",7443.96,"1442","19.37","867","11.65"
2023-08-10,"Upper East Side/Yorkville","Manhattan","10028","10028","'0-17",7284.42,505,5065,5570,"2240","1441",6.93,69.53,76.46,"30.75","19.78","'13-17",1677.88,"1309","78.02","'5-17",5000.27,"2238","44.76","1212","24.24"
2023-08-10,"East Harlem","Manhattan","10029","10029","'0-17",15591.92,1268,7734,9002,"1764","1155",8.13,49.6,57.74,"11.31","7.41","'13-17",4251.66,"1162","27.33","'5-17",11222.87,"1762","15.7","966","8.61"
2023-08-10,"Central Harlem (North)","Manhattan","10030","10030","'0-17",6111.3,473,2350,2823,"495","327",7.74,38.45,46.19,"8.1","5.35","'13-17",1626.02,"312","19.19","'5-17",4285.51,"495","11.55","286","6.67"
2023-08-10,"Hamilton Heights/West Harlem","Manhattan","10031","10031","'0-17",10125.24,685,4337,5022,"1003","664",6.77,42.83,49.6,"9.91","6.56","'13-17",2747.96,"641","23.33","'5-17",7199.27,"1003","13.93","565","7.85"
2023-08-10,"Washington Heights (South)","Manhattan","10032","10032","'0-17",10445.74,916,4617,5533,"1040","763",8.77,44.2,52.97,"9.96","7.3","'13-17",2897,"697","24.06","'5-17",7391.15,"1040","14.07","667","9.02"
2023-08-10,"Washington Heights (North)/Washington Heights (South)","Manhattan","10033","10033","'0-17",10194.93,699,4412,5111,"1060","845",6.86,43.28,50.13,"10.4","8.29","'13-17",2730.16,"658","24.1","'5-17",7070.31,"1059","14.98","678","9.59"
2023-08-10,"Inwood/Washington Heights (North)","Manhattan","10034","10034","'0-17",7788.34,537,3455,3992,"876","601",6.89,44.36,51.26,"11.25","7.72","'13-17",2041.79,"565","27.67","'5-17",5425.54,"875","16.13","499","9.2"
2023-08-10,"East Harlem","Manhattan","10035","10035","'0-17",7064.78,545,3274,3819,"755","467",7.71,46.34,54.06,"10.69","6.61","'13-17",1940.04,"451","23.25","'5-17",5071.85,"755","14.89","395","7.79"
2023-08-10,"Hell's Kitchen/Midtown Manhattan","Manhattan","10036","10036","'0-17",1952.8,3329,1723,5052,"447","471",170.47,88.23,258.7,"22.89","24.12","'13-17",422.67,"279","66.01","'5-17",1183.57,"447","37.77","396","33.46"
