"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2021-06-06,"Chelsea/NoMad/West Chelsea","Manhattan","10001","10001, 10118","All ages",27613.09,2972,19560,22532,10.76,70.84,81.6
2021-06-06,"Chinatown/Lower East Side","Manhattan","10002","10002","All ages",75322.71,6705,45510,52215,8.9,60.42,69.32
2021-06-06,"East Village/Gramercy/Greenwich Village","Manhattan","10003","10003","All ages",53977.81,3812,32539,36351,7.06,60.28,67.34
2021-06-06,"Financial District","Manhattan","10004","10004","All ages",2972.12,443,2692,3135,14.91,90.58,105.48
2021-06-06,"Financial District","Manhattan","10005","10005","All ages",8757.23,1068,5839,6907,12.2,66.68,78.87
2021-06-06,"Financial District","Manhattan","10006","10006","All ages",3381.8,477,2707,3184,14.1,80.05,94.15
2021-06-06,"TriBeCa","Manhattan","10007","10007","All ages",6991.45,789,5027,5816,11.29,71.9,83.19
2021-06-06,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan","10009","10009","All ages",57151.12,4245,32745,36990,7.43,57.3,64.72
2021-06-06,"Flatiron/Gramercy/Kips Bay","Manhattan","10010","10010","All ages",33353,2402,19654,22056,7.2,58.93,66.13
2021-06-06,"Chelsea","Manhattan","10011","10011","All ages",49745.99,3494,32907,36401,7.02,66.15,73.17
2021-06-06,"Greenwich Village/SoHo","Manhattan","10012","10012","All ages",23152.07,1893,13681,15574,8.18,59.09,67.27
2021-06-06,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan","10013","10013","All ages",28818.86,2601,18546,21147,9.03,64.35,73.38
2021-06-06,"Hudson Square/Meatpacking District/West Village","Manhattan","10014","10014","All ages",30336.05,2256,20049,22305,7.44,66.09,73.53
2021-06-06,"Kips Bay/Murray Hill/NoMad","Manhattan","10016","10016","All ages",50912.11,4438,35862,40300,8.72,70.44,79.16
2021-06-06,"East Midtown/Murray Hill","Manhattan","10017","10017","All ages",15613.27,1558,11537,13095,9.98,73.89,83.87
2021-06-06,"Hell's Kitchen/Midtown Manhattan","Manhattan","10018","10018","All ages",11790.55,1720,8846,10566,14.59,75.03,89.61
2021-06-06,"Hell's Kitchen/Midtown Manhattan","Manhattan","10019","10019, 10020","All ages",43522.4,4464,31290,35754,10.26,71.89,82.15
2021-06-06,"Lenox Hill/Upper East Side","Manhattan","10021","10021","All ages",45875.54,2896,28498,31394,6.31,62.12,68.43
2021-06-06,"East Midtown","Manhattan","10022","10022","All ages",30896.18,2682,22001,24683,8.68,71.21,79.89
2021-06-06,"Lincoln Square","Manhattan","10023","10023","All ages",61782.48,4465,40986,45451,7.23,66.34,73.57
2021-06-06,"Upper West Side","Manhattan","10024","10024","All ages",58412.05,3859,37603,41462,6.61,64.38,70.98
2021-06-06,"Manhattan Valley/Morningside Heights/Upper West Side","Manhattan","10025","10025","All ages",91619.93,6268,54456,60724,6.84,59.44,66.28
2021-06-06,"Central Harlem (South)","Manhattan","10026","10026","All ages",38664.36,2300,15620,17920,5.95,40.4,46.35
2021-06-06,"Central Harlem (South)/Morningside Heights/West Harlem","Manhattan","10027","10027","All ages",63394.55,4113,26966,31079,6.49,42.54,49.02
2021-06-06,"Upper East Side/Yorkville","Manhattan","10028","10028","All ages",47370.29,3113,28763,31876,6.57,60.72,67.29
2021-06-06,"East Harlem","Manhattan","10029","10029","All ages",78224.82,5180,33229,38409,6.62,42.48,49.1
2021-06-06,"Central Harlem (North)","Manhattan","10030","10030","All ages",29269.87,1766,10156,11922,6.03,34.7,40.73
2021-06-06,"Hamilton Heights/West Harlem","Manhattan","10031","10031","All ages",59023.53,3836,25464,29300,6.5,43.14,49.64
2021-06-06,"Washington Heights (South)","Manhattan","10032","10032","All ages",63051.12,3949,28346,32295,6.26,44.96,51.22
2021-06-06,"Washington Heights (North)/Washington Heights (South)","Manhattan","10033","10033","All ages",58517.81,3500,25694,29194,5.98,43.91,49.89
2021-06-06,"Inwood/Washington Heights (North)","Manhattan","10034","10034","All ages",42241.84,2829,17332,20161,6.7,41.03,47.73
2021-06-06,"East Harlem","Manhattan","10035","10035","All ages",35240.03,2572,15040,17612,7.3,42.68,49.98
2021-06-06,"Hell's Kitchen/Midtown Manhattan","Manhattan","10036","10036","All ages",27242.15,3387,22353,25740,12.43,82.05,94.49
2021-06-06,"Central Harlem (North)/East Harlem","Manhattan","10037","10037","All ages",20793.37,1213,8069,9282,5.83,38.81,44.64
2021-06-06,"Chinatown/Financial District","Manhattan","10038","10038","All ages",22864.58,2286,13247,15533,10,57.94,67.93
2021-06-06,"Central Harlem (North)/Washington Heights (South)","Manhattan","10039","10039","All ages",27180.77,1739,8693,10432,6.4,31.98,38.38
2021-06-06,"Washington Heights (North)","Manhattan","10040","10040","All ages",43966.32,2887,19506,22393,6.57,44.37,50.93
2021-06-06,"Roosevelt Island","Manhattan","10044","10044","All ages",11671.84,799,6611,7410,6.85,56.64,63.49
2021-06-06,"Lenox Hill/Upper East Side","Manhattan","10065","10065","All ages",27899.1,2072,18387,20459,7.43,65.91,73.33
2021-06-06,"Lincoln Square","Manhattan","10069","10069","All ages",6284.56,599,4364,4963,9.53,69.44,78.97
2021-06-06,"Lenox Hill/Upper East Side","Manhattan","10075","10075, 10162","All ages",23044.5,1935,16797,18732,8.4,72.89,81.29
2021-06-06,"Upper East Side/Yorkville","Manhattan","10128","10128","All ages",58558.8,4010,37103,41113,6.85,63.36,70.21
2021-06-06,"Battery Park City","Manhattan","10280","10280","All ages",9346.22,761,4991,5752,8.14,53.4,61.54
2021-06-06,"Battery Park City","Manhattan","10282","10282","All ages",5571.94,491,2860,3351,8.81,51.33,60.14
2021-06-06,"Silver Lake/St. George","Staten Island","10301","10301","All ages",38904.96,2414,17281,19695,6.2,44.42,50.62
2021-06-06,"Elm Park","Staten Island","10302","10302","All ages",18484.97,1216,6962,8178,6.58,37.66,44.24
