"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2022-01-26,"Chelsea/NoMad/West Chelsea","Manhattan","10001","10001, 10118","'5-17",1362.29,1485,1266,2751,109.01,92.93,201.94
2022-01-26,"Chinatown/Lower East Side","Manhattan","10002","10002","'5-17",8123.22,891,5476,6367,10.97,67.41,78.38
2022-01-26,"East Village/Gramercy/Greenwich Village","Manhattan","10003","10003","'5-17",2242.79,343,1960,2303,15.29,87.39,102.68
2022-01-26,"Financial District","Manhattan","10004","10004","'5-17",144.1,133,380,513,92.3,263.71,356.01
2022-01-26,"Financial District","Manhattan","10005","10005","'5-17",256.98,111,442,553,43.19,172,215.19
2022-01-26,"Financial District","Manhattan","10006","10006","'5-17",114.96,147,246,393,127.87,213.98,341.85
2022-01-26,"TriBeCa","Manhattan","10007","10007","'5-17",708.82,158,929,1087,22.29,131.06,153.35
2022-01-26,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan","10009","10009","'5-17",4704.57,503,2591,3094,10.69,55.07,65.77
2022-01-26,"Flatiron/Gramercy/Kips Bay","Manhattan","10010","10010","'5-17",1598.14,299,1849,2148,18.71,115.7,134.41
2022-01-26,"Chelsea","Manhattan","10011","10011","'5-17",2847.86,433,2466,2899,15.2,86.59,101.8
2022-01-26,"Greenwich Village/SoHo","Manhattan","10012","10012","'5-17",1437.45,158,1021,1179,10.99,71.03,82.02
2022-01-26,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan","10013","10013","'5-17",2614.86,446,2681,3127,17.06,102.53,119.59
2022-01-26,"Hudson Square/Meatpacking District/West Village","Manhattan","10014","10014","'5-17",1704.81,223,1358,1581,13.08,79.66,92.74
