"DATE","CITY_COUNT_FULLY_CUMULATIVE","CITY_COUNT_1PLUS_CUMULATIVE","CITY_COUNT_ADDITIONAL_CUMULATIVE","CITY_COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","CITY_PERC_FULLY","CITY_PERC_1PLUS","CITY_PERC_ADDITIONAL","CITY_PERC_BIVALENT_ADDITIONAL","COUNT_FULLY_CUMULATIVE_AIAN","COUNT_1PLUS_CUMULATIVE_AIAN","COUNT_ADDITIONAL_CUMULATIVE_AIAN","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_AIAN","PERC_FULLY_AIAN","PERC_1PLUS_AIAN","PERC_ADDITIONAL_AIAN","PERC_BIVALENT_ADDITIONAL_AIAN","COUNT_FULLY_CUMULATIVE_ASIAN_NHPI","COUNT_1PLUS_CUMULATIVE_ASIAN_NHPI","COUNT_ADDITIONAL_CUMULATIVE_ASIAN_NHPI","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_ASIAN_NHPI","PERC_FULLY_ASIAN_NHPI","PERC_1PLUS_ASIAN_NHPI","PERC_ADDITIONAL_ASIAN_NHPI","PERC_BIVALENT_ADDITIONAL_ASIAN_NHPI","COUNT_FULLY_CUMULATIVE_BLACK","COUNT_1PLUS_CUMULATIVE_BLACK","COUNT_ADDITIONAL_CUMULATIVE_BLACK","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_BLACK","PERC_FULLY_BLACK","PERC_1PLUS_BLACK","PERC_ADDITIONAL_BLACK","PERC_BIVALENT_ADDITIONAL_BLACK","COUNT_FULLY_CUMULATIVE_HISP_LATINO","COUNT_1PLUS_CUMULATIVE_HISP_LATINO","COUNT_ADDITIONAL_CUMULATIVE_HISP_LATINO","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_HISP_LATINO","PERC_FULLY_HISP_LATINO","PERC_1PLUS_HISP_LATINO","PERC_ADDITIONAL_HISP_LATINO","PERC_BIVALENT_ADDITIONAL_HISP_LATINO","COUNT_FULLY_CUMULATIVE_WHITE","COUNT_1PLUS_CUMULATIVE_WHITE","COUNT_ADDITIONAL_CUMULATIVE_WHITE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_WHITE","PERC_FULLY_WHITE","PERC_1PLUS_WHITE","PERC_ADDITIONAL_WHITE","PERC_BIVALENT_ADDITIONAL_WHITE","COUNT_FULLY_CUMULATIVE_OTHER","COUNT_1PLUS_CUMULATIVE_OTHER","COUNT_ADDITIONAL_CUMULATIVE_OTHER","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_OTHER","COUNT_FULLY_CUMULATIVE_UNKNOWN","COUNT_1PLUS_CUMULATIVE_UNKNOWN","COUNT_ADDITIONAL_CUMULATIVE_UNKNOWN","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_UNKNOWN"
2020-12-14,17,100,0,0,0,0,0,0,"<10","<10","<10","<10",0,0,0,0,"<10",11,"<10","<10",0,0,0,0,"<10",13,"<10","<10",0,0,0,0,"<10",10,"<10","<10",0,0,0,0,"<10",54,"<10","<10",0,0,0,0,"<10","<10","<10","<10","<10","<10","<10","<10"
2020-12-15,42,1692,1,0,0,0.02,0,0,"<10","<10","<10","<10",0,0.04,0,0,"<10",296,"<10","<10",0,0.02,0,0,"<10",155,"<10","<10",0,0.01,0,0,"13",166,"<10","<10",0,0.01,0,0,"16",804,"<10","<10",0,0.03,0,0,"<10","95","<10","<10","<10","168","<10","<10"
2020-12-16,74,5224,2,0,0,0.06,0,0,"<10","21","<10","<10",0,0.11,0,0,"<10",965,"<10","<10",0,0.08,0,0,"10",494,"<10","<10",0,0.03,0,0,"19",513,"<10","<10",0,0.02,0,0,"33",2375,"<10","<10",0,0.09,0,0,"<10","313","<10","<10","<10","543","<10","<10"
2020-12-17,100,9159,3,0,0,0.11,0,0,"<10","33","<10","<10",0,0.17,0,0,"10",1807,"<10","<10",0,0.15,0,0,"14",876,"<10","<10",0,0.05,0,0,"22",905,"<10","<10",0,0.04,0,0,"47",4001,"<10","<10",0,0.15,0,0,"<10","563","<10","<10","<10","974","<10","<10"
2020-12-18,144,13991,6,1,0,0.17,0,0,"<10","48","<10","<10",0,0.25,0,0,"18",2889,"<10","<10",0,0.23,0,0,"22",1382,"<10","<10",0,0.08,0,0,"26",1366,"<10","<10",0,0.06,0,0,"69",5948,"<10","<10",0,0.22,0,0,"<10","900","<10","<10","<10","1458","<10","<10"
2020-12-19,157,15422,7,3,0,0.18,0,0,"<10","53","<10","<10",0,0.28,0,0,"21",3250,"<10","<10",0,0.26,0,0,"23",1513,"<10","<10",0,0.08,0,0,"27",1489,"<10","<10",0,0.06,0,0,"76",6524,"<10","<10",0,0.24,0,0,"<10","1003","<10","<10","<10","1590","<10","<10"
2020-12-20,167,16331,8,3,0,0.2,0,0,"<10","57","<10","<10",0,0.3,0,0,"24",3452,"<10","<10",0,0.28,0,0,"25",1597,"<10","<10",0,0.09,0,0,"29",1558,"<10","<10",0,0.06,0,0,"79",6944,"<10","<10",0,0.26,0,0,"<10","1049","<10","<10","<10","1674","<10","<10"
2020-12-21,199,21901,11,4,0,0.26,0,0,"<10","72","<10","<10",0,0.38,0,0,"28",4374,"<10","<10",0,0.35,0,0,"31",2235,"<10","<10",0,0.12,0,0,"36",2628,"<10","<10",0,0.11,0,0,"90",8932,"<10","<10",0,0.33,0,0,"<10","1527","<10","<10","<10","2133","<10","<10"
2020-12-22,239,29830,12,4,0,0.36,0,0,"<10","95","<10","<10",0,0.5,0,0,"36",5836,"<10","<10",0,0.47,0,0,"37",3182,"<10","<10",0,0.17,0,0,"41",3713,"<10","<10",0,0.15,0,0,"107",11840,"<10","<10",0,0.44,0,0,"<10","2297","<10","<10","11","2867","<10","<10"
2020-12-23,295,41055,14,5,0,0.49,0,0,"<10","125","<10","<10",0,0.66,0,0,"41",7743,"<10","<10",0,0.63,0,0,"47",4608,"<10","<10",0,0.25,0,0,"49",5315,"<10","<10",0,0.22,0,0,"133",16047,"<10","<10",0,0.6,0,0,"11","3318","<10","<10","14","3899","<10","<10"
