"DATE","CITY_COUNT_FULLY_CUMULATIVE","CITY_COUNT_1PLUS_CUMULATIVE","CITY_COUNT_ADDITIONAL_CUMULATIVE","CITY_COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","CITY_PERC_FULLY","CITY_PERC_1PLUS","CITY_PERC_ADDITIONAL","CITY_PERC_BIVALENT_ADDITIONAL","COUNT_FULLY_CUMULATIVE_FEMALE","COUNT_1PLUS_CUMULATIVE_FEMALE","COUNT_ADDITIONAL_CUMULATIVE_FEMALE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_FEMALE","PERC_FULLY_FEMALE","PERC_1PLUS_FEMALE","PERC_ADDITIONAL_FEMALE","PERC_BIVALENT_ADDITIONAL_FEMALE","COUNT_FULLY_CUMULATIVE_MALE","COUNT_1PLUS_CUMULATIVE_MALE","COUNT_ADDITIONAL_CUMULATIVE_MALE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_MALE","PERC_FULLY_MALE","PERC_1PLUS_MALE","PERC_ADDITIONAL_MALE","PERC_BIVALENT_ADDITIONAL_MALE","COUNT_FULLY_CUMULATIVE_OTHER","COUNT_1PLUS_CUMULATIVE_OTHER","COUNT_ADDITIONAL_CUMULATIVE_OTHER","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_OTHER","COUNT_FULLY_CUMULATIVE_UNKNOWN","COUNT_1PLUS_CUMULATIVE_UNKNOWN","COUNT_ADDITIONAL_CUMULATIVE_UNKNOWN","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE_UNKNOWN"
2020-12-14,17,100,0,0,0,0,0,0,"<10",37,"<10","<10",0,0,0,0,10,63,"<10","<10",0,0,0,0,"<10","<10","<10","<10","<10","<10","<10","<10"
2020-12-15,42,1690,1,0,0,0.02,0,0,"16",847,"<10","<10",0,0.02,0,0,26,839,"<10","<10",0,0.02,0,0,"<10","<10","<10","<10","<10","<10","<10","<10"
2020-12-16,73,5216,2,0,0,0.06,0,0,"33",2654,"<10","<10",0,0.06,0,0,40,2547,"<10","<10",0,0.06,0,0,"<10","<10","<10","<10","<10","14","<10","<10"
2020-12-17,99,9149,3,0,0,0.11,0,0,"44",4631,"<10","<10",0,0.11,0,0,55,4487,"<10","<10",0,0.11,0,0,"<10","<10","<10","<10","<10","30","<10","<10"
2020-12-18,141,13964,6,1,0,0.17,0,0,"66",7175,"<10","<10",0,0.16,0,0,75,6725,"<10","<10",0,0.17,0,0,"<10","<10","<10","<10","<10","62","<10","<10"
2020-12-19,154,15395,7,2,0,0.18,0,0,"71",7950,"<10","<10",0,0.18,0,0,83,7376,"<10","<10",0,0.19,0,0,"<10","<10","<10","<10","<10","67","<10","<10"
2020-12-20,164,16298,8,2,0,0.2,0,0,"76",8474,"<10","<10",0,0.19,0,0,88,7750,"<10","<10",0,0.19,0,0,"<10","<10","<10","<10","<10","72","<10","<10"
2020-12-21,197,21854,12,3,0,0.26,0,0,"88",11697,"<10","<10",0,0.27,0,0,109,10048,"<10","<10",0,0.25,0,0,"<10","<10","<10","<10","<10","107","<10","<10"
2020-12-22,236,29779,13,3,0,0.36,0,0,"106",16182,"<10","<10",0,0.37,0,0,129,13459,"<10","<10",0,0.34,0,0,"<10","<10","<10","<10","<10","136","<10","<10"
2020-12-23,290,40991,15,4,0,0.49,0,0,"141",22742,"<10","<10",0,0.52,0,0,148,18083,"<10","<10",0,0.45,0,0,"<10","<10","<10","<10","<10","163","<10","<10"
2020-12-24,322,46575,15,4,0,0.56,0,0,"158",26106,"<10","<10",0,0.6,0,0,163,20292,"<10","<10",0,0.51,0,0,"<10","<10","<10","<10","<10","174","<10","<10"
2020-12-25,324,46790,17,4,0,0.56,0,0,"160",26207,"<10","<10",0,0.6,0,0,163,20405,"<10","<10",0,0.51,0,0,"<10","<10","<10","<10","<10","175","<10","<10"
2020-12-26,368,49874,18,4,0,0.6,0,0,"178",28082,"10","<10",0,0.64,0,0,189,21604,"<10","<10",0,0.54,0,0,"<10","<10","<10","<10","<10","185","<10","<10"
2020-12-27,385,52465,18,4,0,0.63,0,0,"189",29539,"10","<10",0,0.68,0,0,195,22733,"<10","<10",0,0.57,0,0,"<10","<10","<10","<10","<10","190","<10","<10"
2020-12-28,456,61400,22,4,0.01,0.74,0,0,"230",34736,"13","<10",0.01,0.8,0,0,225,26437,"<10","<10",0.01,0.66,0,0,"<10","<10","<10","<10","<10","222","<10","<10"
2020-12-29,527,70389,27,4,0.01,0.84,0,0,"261",39922,"16","<10",0.01,0.92,0,0,265,30212,"11","<10",0.01,0.76,0,0,"<10","<10","<10","<10","<10","250","<10","<10"
2020-12-30,602,80802,27,4,0.01,0.97,0,0,"303",46093,"16","<10",0.01,1.06,0,0,298,34406,"11","<10",0.01,0.86,0,0,"<10","<10","<10","<10","<10","297","<10","<10"
2020-12-31,645,86886,28,4,0.01,1.04,0,0,"328",49736,"17","<10",0.01,1.14,0,0,316,36773,"11","<10",0.01,0.92,0,0,"<10","<10","<10","<10","<10","370","<10","<10"
2021-01-01,761,87810,47,10,0.01,1.05,0,0,"391",50289,"31","<10",0.01,1.15,0,0,369,37139,"16","<10",0.01,0.93,0,0,"<10","<10","<10","<10","<10","375","<10","<10"
2021-01-02,785,90802,51,10,0.01,1.09,0,0,"404",51981,"33","<10",0.01,1.19,0,0,380,38422,"18","<10",0.01,0.97,0,0,"<10","<10","<10","<10","<10","391","<10","<10"
2021-01-03,825,93679,53,12,0.01,1.12,0,0,"427",53628,"35","<10",0.01,1.23,0,0,396,39624,"18","<10",0.01,1,0,0,"<10","<10","<10","<10","<10","419","<10","<10"
2021-01-04,1509,103960,60,13,0.02,1.25,0,0,"746",59744,"38","<10",0.02,1.37,0,0,759,43723,"22","<10",0.02,1.1,0,0,"<10","<10","<10","<10","<10","485","<10","<10"
2021-01-05,3258,115975,74,13,0.04,1.39,0,0,"1638",66593,"45","<10",0.04,1.53,0,0,1612,48763,"29","<10",0.04,1.23,0,0,"<10","<10","<10","<10","<10","611","<10","<10"
2021-01-06,6326,130920,98,14,0.08,1.57,0,0,"3182",75441,"57","<10",0.07,1.73,0,0,3125,54705,"41","<10",0.08,1.38,0,0,"<10","10","<10","<10","18","764","<10","<10"
2021-01-07,10576,145260,139,15,0.13,1.74,0,0,"5369",84195,"77","10",0.12,1.93,0,0,5175,60200,"62","<10",0.13,1.51,0,0,"<10","11","<10","<10","31","854","<10","<10"
2021-01-08,15055,159299,180,15,0.18,1.91,0,0,"7803",93051,"96","10",0.18,2.13,0,0,7191,65306,"83","<10",0.18,1.64,0,0,"<10","13","<10","<10","59","929","<10","<10"
2021-01-09,16260,166105,187,17,0.2,1.99,0,0,"8473",97344,"99","11",0.19,2.23,0,0,7725,67797,"87","<10",0.19,1.7,0,0,"<10","13","<10","<10","60","951","<10","<10"
2021-01-10,17088,172815,197,18,0.2,2.07,0,0,"8930",101699,"102","12",0.2,2.33,0,0,8094,70130,"94","<10",0.2,1.76,0,0,"<10","14","<10","<10","62","972","<10","<10"
2021-01-11,23282,193049,256,18,0.28,2.32,0,0,"12483",113122,"137","12",0.29,2.6,0,0,10693,78871,"118","<10",0.27,1.98,0,0,"<10","15","<10","<10","104","1041","<10","<10"
2021-01-12,29751,215793,301,18,0.36,2.59,0,0,"16208",126026,"162","12",0.37,2.89,0,0,13422,88618,"138","<10",0.34,2.23,0,0,"<10","18","<10","<10","119","1131","<10","<10"
2021-01-13,37290,241659,351,18,0.45,2.9,0,0,"20668",141086,"190","12",0.47,3.24,0,0,16481,99320,"160","<10",0.41,2.5,0,0,"<10","22","<10","<10","138","1231","<10","<10"
2021-01-14,41399,270105,387,18,0.5,3.24,0,0,"23178",157587,"212","12",0.53,3.62,0,0,18072,111147,"174","<10",0.45,2.79,0,0,"<10","25","<10","<10","146","1346","<10","<10"
2021-01-15,44280,293285,422,19,0.53,3.52,0.01,0,"24937",171593,"231","13",0.57,3.94,0.01,0,19185,120235,"190","<10",0.48,3.02,0,0,"<10","27","<10","<10","155","1430","<10","<10"
2021-01-16,46002,317130,451,20,0.55,3.8,0.01,0,"25960",185647,"247","14",0.6,4.26,0.01,0,19883,129928,"203","<10",0.5,3.27,0.01,0,"<10","35","<10","<10","156","1520","<10","<10"
